,name,institute,provider,date,review,rating
598,Build a Full Website using WordPress,Coursera Project Network,Coursera,"7th Sep, 2020",1 Reviews,4.0
626,Web Design for Everybody Capstone,University of Michigan,Coursera,"14th Sep, 2020",1 Reviews,4.0
630,Software Testing,University of Utah,Udacity,Self Paced,7 Reviews,4.0
631,Software Debugging,Saarland University,Udacity,Self Paced,5 Reviews,4.6
632,UNSW Computing 1 - The Art of Programming,-1,OpenLearning,Self Paced,1 Reviews,5.0
633,Interactive 3D Graphics,Autodesk,Udacity,Self Paced,6 Reviews,4.3
635,Introduction to Mobile Solution Development,-1,openSAP,Self Paced,1 Reviews,4.0
636,Intro to Point & Click App Development,Salesforce,Udacity,Self Paced,6 Reviews,4.0
637,Introduction to Software Development on SAP HANA,-1,openSAP,Self Paced,6 Reviews,4.7
639,Parallel Programming Concepts,-1,openHPI,Self Paced,5 Reviews,4.0
642,Ada: Basic Concepts,AdaCore University,Independent,Self Paced,1 Reviews,4.0
644,Website Performance Optimization,Google,Udacity,Self Paced,4 Reviews,4.3
645,Software Development Process,Georgia Institute of Technology,Udacity,Self Paced,5 Reviews,3.6
646,An Introduction to SAP HANA,-1,openSAP,Self Paced,2 Reviews,3.5
647,Cambridge GSCE Computing Online,Cambridge University Press,Independent,Self Paced,2 Reviews,3.5
648,Intro to AJAX,-1,Udacity,Self Paced,7 Reviews,3.9
649,HTML5 Canvas,-1,Udacity,Self Paced,3 Reviews,4.0
650,Intro to iOS App Development with Swift,-1,Udacity,Self Paced,5 Reviews,4.4
651,Intro to jQuery,-1,Udacity,Self Paced,3 Reviews,4.3
653,Intro to Relational Databases,-1,Udacity,Self Paced,7 Reviews,2.1
655,JavaScript Testing,-1,Udacity,Self Paced,3 Reviews,4.0
657,Responsive Images,-1,Udacity,Self Paced,5 Reviews,4.0
659,Authentication & Authorization: OAuth,-1,Udacity,Self Paced,3 Reviews,4.0
660,Browser Rendering Optimization,Google,Udacity,Self Paced,2 Reviews,4.0
663,A/B Testing,Google,Udacity,Self Paced,4 Reviews,3.5
665,Android Performance,Google,Udacity,Self Paced,1 Reviews,5.0
