,name,institute,provider,date,review,rating
143,Functional Programming in Scala Capstone,École Polytechnique Fédérale de Lausanne,Coursera,"17th Aug, 2020",None,-1
144,Introduction to Neurohacking In R,Johns Hopkins University,Coursera,"17th Aug, 2020",None,-1
145,Introduction to Web Development,"University of California, Davis",Coursera,"17th Aug, 2020",3 Reviews,4.0
146,"C++ For C Programmers, Part B","University of California, Santa Cruz",Coursera,"17th Aug, 2020",1 Reviews,2.0
147,"Android App Components - Services, Local IPC, and Content Providers",Vanderbilt University,Coursera,"17th Aug, 2020",2 Reviews,2.5
148,AD,Wharton School of the University of Pennsylvania,-1,Self Paced,None,5.0
149,C程序设计进阶,Peking University,Coursera,"17th Aug, 2020",None,-1
150,Introduction To Swift Programming,University of Toronto,Coursera,"17th Aug, 2020",7 Reviews,1.3
151,计算导论与C语言基础,Peking University,Coursera,"17th Aug, 2020",1 Reviews,4.0
152,Como aprimorar e monetizar seu aplicativo para iOS e Apple Watch,Universidade Estadual de Campinas,Coursera,"17th Aug, 2020",None,-1
153,Responsive Website Tutorial and Examples,University of London International Programmes,Coursera,"17th Aug, 2020",2 Reviews,5.0
154,"Java Programming: Arrays, Lists, and Structured Data",Duke University,Coursera,"17th Aug, 2020",6 Reviews,4.5
155,Introduction to Meteor.js Development,University of London International Programmes,Coursera,"17th Aug, 2020",6 Reviews,4.3
156,Database Management Essentials,University of Colorado System,Coursera,"17th Aug, 2020",4 Reviews,3.8
157,World Design for Video Games,California Institute of the Arts,Coursera,"17th Aug, 2020",5 Reviews,4.4
158,iOS App Development Basics,University of Toronto,Coursera,"17th Aug, 2020",2 Reviews,4.0
159,软件测试 (Software Testing),Nanjing University,Coursera,"17th Aug, 2020",None,-1
160,AD,Kellogg School of Management,-1,Self Paced,None,5.0
161,Introducción a Java,Universidad Nacional Autónoma de México,Coursera,"17th Aug, 2020",None,-1
162,Gameplay en videojuegos,Universitat Autònoma de Barcelona (Autonomous University of Barcelona),Coursera,"17th Aug, 2020",None,-1
163,Основы программирования на Python,Higher School of Economics,Coursera,"17th Aug, 2020",None,-1
164,Базы данных (Databases),Saint Petersburg State University,Coursera,"17th Aug, 2020",None,-1
165,Programming Fundamentals,Duke University,Coursera,"17th Aug, 2020",None,-1
166,Python Programming Essentials,Rice University,Coursera,"17th Aug, 2020",1 Reviews,5.0
167,Python Data Representations,Rice University,Coursera,"17th Aug, 2020",None,-1
168,AD,UC Berkeley Executive Education,-1,Self Paced,None,5.0
169,Web Design: Strategy and Information Architecture,California Institute of the Arts,Coursera,"17th Aug, 2020",2 Reviews,5.0
170,Smart Device & Mobile Emerging Technologies,Yonsei University,Coursera,"17th Aug, 2020",None,-1
171,3D Art and Audio Pipeline,Unity,Coursera,"17th Aug, 2020",1 Reviews,5.0
172,Feature Engineering 日本語版,Google Cloud,Coursera,"17th Aug, 2020",None,-1
173,Get an email when new courses are available,-1,-1,Self Paced,None,-1
174,Основы разработки на C++: жёлтый пояс,Moscow Institute of Physics and Technology,Coursera,"17th Aug, 2020",None,-1
175,Version Control with Git,Atlassian,Coursera,"17th Aug, 2020",4 Reviews,4.5
176,Performance Optimization in Unity,Unity,Coursera,"17th Aug, 2020",None,-1
177,Unity Services Implementation,Unity,Coursera,"17th Aug, 2020",None,-1
178,Погружение в Python,Moscow Institute of Physics and Technology,Coursera,"17th Aug, 2020",None,-1
179,Front-End Web Development with React,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",1 Reviews,5.0
180,AD,The London School of Economics and Political Science,-1,Self Paced,None,5.0
181,Introduction to Python,Moscow Institute of Physics and Technology,Coursera,"17th Aug, 2020",None,-1
182,Software Architecture,University of Alberta,Coursera,"17th Aug, 2020",4 Reviews,4.5
183,Service-Oriented Architecture,University of Alberta,Coursera,"17th Aug, 2020",2 Reviews,4.5
184,Front-End JavaScript Frameworks: Angular,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",None,-1
185,Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",None,-1
186,Multiplatform Mobile App Development with Web Technologies: Ionic and Cordova,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",None,-1
187,Multiplatform Mobile App Development with NativeScript,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",None,-1
188,Cloud Computing Security,University of Colorado System,Coursera,"17th Aug, 2020",None,-1
189,Multiplatform Mobile App Development with React Native,The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",1 Reviews,4.0
190,SQL for Data Science,"University of California, Davis",Coursera,"17th Aug, 2020",1 Reviews,1.0
191,Requirements Specifications: Goals and Conflict Analysis,University of Colorado System,Coursera,"17th Aug, 2020",None,-1
192,AD,UC Berkeley Executive Education,-1,Self Paced,None,5.0
193,SRS Documents: Requirements and Diagrammatic Notations,University of Colorado System,Coursera,"17th Aug, 2020",None,-1
194,Requirements Gathering for Secure Software Development,University of Colorado System,Coursera,"17th Aug, 2020",None,-1
195,Software Requirements Prioritization: Risk Analysis,University of Colorado System,Coursera,"17th Aug, 2020",None,-1
196,Requirements Elicitation: Artifact and Stakeholder Analysis,University of Colorado System,Coursera,"17th Aug, 2020",None,-1
197,"App Deployment, Debugging, and Performance",Google Cloud,Coursera,"17th Aug, 2020",None,-1
198,Digital Skills: Mobile,Accenture,FutureLearn,"17th Aug, 2020",None,-1
199,"Writing, Running, and Fixing Code in C",Duke University,Coursera,"17th Aug, 2020",None,-1
200,Pixel Art for Video Games,Michigan State University,Coursera,"17th Aug, 2020",1 Reviews,4.0
201,Основы разработки на C++: белый пояс,Moscow Institute of Physics and Technology,Coursera,"17th Aug, 2020",None,-1
202,Introdução à Ciência da Computação com Python Parte 2,Universidade de São Paulo,Coursera,"17th Aug, 2020",None,-1
203,"Server-side Development with NodeJS, Express and MongoDB",The Hong Kong University of Science and Technology,Coursera,"17th Aug, 2020",1 Reviews,5.0
204,AD,Santa Fe Institute,-1,Self Paced,None,5.0
205,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,Coursera,"17th Aug, 2020",2 Reviews,5.0
206,MongoDB Aggregation Framework,MongoDB University,Coursera,"17th Aug, 2020",None,-1
207,"Разработка веб-сервисов на Golang, часть 2",Moscow Institute of Physics and Technology,Coursera,"17th Aug, 2020",None,-1
208,Introdução ao Teste de Software,Universidade de São Paulo,Coursera,"17th Aug, 2020",None,-1
209,Introdução ao Desenvolvimento de Aplicativos Android,Universidade Estadual de Campinas,Coursera,"17th Aug, 2020",None,-1
210,Linux Tools for Developers,Linux Foundation,Coursera,"17th Aug, 2020",None,-1
211,Using Git for Distributed Development,Linux Foundation,Coursera,"17th Aug, 2020",None,-1
212,Open Source Software Development Methods,Linux Foundation,Coursera,"17th Aug, 2020",None,-1
213,Preparing for the Google Cloud Professional Cloud Architect Exam,Google Cloud,Coursera,"17th Aug, 2020",None,-1
214,Essential Cloud Infrastructure: Foundation en Français,Google Cloud,Coursera,"17th Aug, 2020",None,-1
215,Essential Cloud Infrastructure: Core Services en Français,Google Cloud,Coursera,"17th Aug, 2020",None,-1
216,AD,UC Berkeley Executive Education,-1,Self Paced,None,5.0
217,Handheld AR App Development with Unity,Unity,Coursera,"17th Aug, 2020",None,-1
218,Inferential Statistical Analysis with Python,University of Michigan,Coursera,"17th Aug, 2020",None,-1
219,Understanding and Visualizing Data with Python,University of Michigan,Coursera,"17th Aug, 2020",None,-1
220,Building Cloud Services with the Java Spring Framework,Vanderbilt University,Coursera,"17th Aug, 2020",None,-1
221,برمج بنفسك! مقدمة حول البرمجة,University of Edinburgh,Coursera,"17th Aug, 2020",None,-1
222,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,Coursera,"17th Aug, 2020",1 Reviews,4.0
223,Securing and Integrating Components of your Application 日本語版,Google Cloud,Coursera,"17th Aug, 2020",None,-1
224,AD,Thayer School of Engineering at Dartmouth,-1,Self Paced,None,5.0
225,Getting Started with Application Development 日本語版,Google Cloud,Coursera,"17th Aug, 2020",None,-1
226,Architecting with Google Kubernetes Engine: Production em Português Brasileiro,Google Cloud,Coursera,"17th Aug, 2020",None,-1
227,Architecting with Google Kubernetes Engine: Workloads em Português Brasileiro,Google Cloud,Coursera,"17th Aug, 2020",None,-1
228,Elastic Cloud Infrastructure: Scaling and Automation em Português Brasileiro,Google Cloud,Coursera,"17th Aug, 2020",None,-1
229,Get an email when new courses are available,-1,-1,Self Paced,None,-1
230,Estructuras de datos en Python,Universidad Austral,Coursera,"17th Aug, 2020",None,-1
231,Essential Cloud Infrastructure: Foundation dalam bahasa Indonesia,Google Cloud,Coursera,"17th Aug, 2020",None,-1
232,Essential Cloud Infrastructure: Core Services dalam bahasa Indonesia,Google Cloud,Coursera,"17th Aug, 2020",None,-1
233,Reliable Cloud Infrastructure: Design and Process dalam bahasa Indonesia,Google Cloud,Coursera,"17th Aug, 2020",None,-1
234,Elastic Cloud Infrastructure: Scaling and Automation dalam bahasa Indonesia,Google Cloud,Coursera,"17th Aug, 2020",None,-1
235,Exploratory Data Analysis with MATLAB,MathWorks,Coursera,"17th Aug, 2020",1 Reviews,5.0
236,AD,Cambridge Judge Business School Executive Education,-1,Self Paced,None,5.0
237,Elastic Cloud Infrastructure: Scaling and Automation auf Deutsch,Google Cloud,Coursera,"17th Aug, 2020",None,-1
238,Reliable Cloud Infrastructure: Design and Process en Español,Google Cloud,Coursera,"17th Aug, 2020",None,-1
239,Reliable Cloud Infrastructure: Design and Process auf Deutsch,Google Cloud,Coursera,"17th Aug, 2020",None,-1
240,Elastic Cloud Infrastructure: Scaling and Automation en Español,Google Cloud,Coursera,"17th Aug, 2020",None,-1
241,"Python Functions, Files, and Dictionaries",University of Michigan,Coursera,"17th Aug, 2020",None,-1
242,Python Basics,University of Michigan,Coursera,"17th Aug, 2020",None,-1
243,Data Collection and Processing with Python,University of Michigan,Coursera,"17th Aug, 2020",None,-1
244,Feature Engineering en Français,Google Cloud,Coursera,"17th Aug, 2020",None,-1
245,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,Coursera,"17th Aug, 2020",None,-1
246,Essential Cloud Infrastructure: Foundation en Español,Google Cloud,Coursera,"17th Aug, 2020",None,-1
247,Introduction to R Software,Indian Institute of Technology Kanpur,Swayam,"17th Aug, 2020",None,-1
248,AD,Kellogg Executive Education,-1,Self Paced,None,5.0
249,Asset Creation and Management,Unity,Coursera,"17th Aug, 2020",1 Reviews,4.0
250,Introduction to Programming in Swift 5,LearnQuest,Coursera,"17th Aug, 2020",None,-1
251,Introduction to iOS App Development with Swift 5,LearnQuest,Coursera,"17th Aug, 2020",None,-1
252,"Tables, Data & Networking in iOS",LearnQuest,Coursera,"17th Aug, 2020",None,-1
253,iOS App Store & In-App Purchases,LearnQuest,Coursera,"17th Aug, 2020",None,-1
254,SQL for Data Science Capstone Project,"University of California, Davis",Coursera,"17th Aug, 2020",None,-1
255,"Coding for Designers, Managers, & Entrepreneurs I",University of Virginia,Coursera,"17th Aug, 2020",None,-1
256,"Coding for Designers, Managers, & Entrepreneurs II",University of Virginia,Coursera,"17th Aug, 2020",None,-1
257,"Coding for Designers, Managers, & Entrepreneurs III",University of Virginia,Coursera,"17th Aug, 2020",None,-1
258,Hybrid Cloud Multi-Cluster with Anthos,Google Cloud,Coursera,"17th Aug, 2020",None,-1
259,Многопоточность,Moscow Institute of Physics and Technology,Coursera,"17th Aug, 2020",None,-1
260,AD,Kellogg School of Management,-1,Self Paced,None,5.0
261,Архитектура Android-приложений,Moscow Institute of Physics and Technology,Coursera,"17th Aug, 2020",None,-1
262,Пользовательский интерфейс,Moscow Institute of Physics and Technology,Coursera,"17th Aug, 2020",None,-1
263,Многопоточность и сетевое взаимодействие в Android,Moscow Institute of Physics and Technology,Coursera,"17th Aug, 2020",None,-1
264,Creating Cutscenes in Unity,Unity,Coursera,"17th Aug, 2020",None,-1
265,Integrating Scripts for Scene Interactions,Unity,Coursera,"17th Aug, 2020",None,-1
266,"Lighting, Reflection, and Post Processing Effects",Unity,Coursera,"17th Aug, 2020",None,-1
267,"Desarrollo de Aplicaciones Mobile Multiplataforma con Nativescript, Angular y Redux",Universidad Austral,Coursera,"17th Aug, 2020",None,-1
